time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741392991.8997126,2.0,3.0,3.0,2.0,3.0,3.0,417.0,123.0,18.0,1.0,0.0,0.0,21.144453125,33.47554321013382,1008.7365215770966,37.64574366282931,239346.0
1741392992.9127984,2.0,3.0,3.0,2.0,3.0,3.0,417.0,123.0,18.0,1.0,0.0,0.0,21.133125,33.480288569387355,1008.7369082766206,37.6425124662648,239181.0
1741392993.9264934,2.0,3.0,3.0,2.0,3.0,3.0,417.0,123.0,18.0,1.0,0.0,0.0,21.12296875,33.5082037030296,1008.7318337121853,37.68491475795979,240342.0
1741392994.9396548,2.0,3.0,3.0,2.0,3.0,3.0,435.0,125.0,18.0,2.0,0.0,0.0,21.111640625,33.51871621890917,1008.7249077993791,37.74278691492429,240175.0
1741392995.9531145,2.0,3.0,3.0,2.0,3.0,3.0,435.0,125.0,18.0,2.0,0.0,0.0,21.105390625,33.5239198401374,1008.7205191924704,37.77945779258668,239843.0
1741392996.9672053,2.0,3.0,3.0,2.0,3.0,3.0,435.0,125.0,18.0,2.0,0.0,0.0,21.1028515625,33.54676053113904,1008.7256479439918,37.73660233352144,239843.0
1741392997.9804626,2.0,3.0,3.0,2.0,3.0,3.0,453.0,133.0,19.0,2.0,0.0,0.0,21.09875,33.557926706168104,1008.7301363752341,37.69909748695068,240342.0
1741392998.9936516,2.0,3.0,3.0,2.0,3.0,3.0,453.0,133.0,19.0,2.0,0.0,0.0,21.0958203125,33.551894378810736,1008.7328200728147,37.67667286444125,240342.0
1741393000.006703,2.0,3.0,3.0,2.0,3.0,3.0,453.0,133.0,19.0,2.0,0.0,0.0,21.09171875,33.55152450868466,1008.735480438647,37.654443246611834,240342.0
1741393001.0196505,1.0,3.0,3.0,1.0,3.0,3.0,354.0,104.0,19.0,3.0,0.0,0.0,21.0844921875,33.55664081508767,1008.7313765296091,37.68873491479199,241011.0
1741393002.0327063,1.0,3.0,3.0,1.0,3.0,3.0,354.0,104.0,19.0,3.0,0.0,0.0,21.0762890625,33.5559010778807,1008.7220742713992,37.76646365226136,241852.0
1741393003.0466406,1.0,3.0,3.0,1.0,3.0,3.0,354.0,104.0,19.0,3.0,0.0,0.0,21.0610546875,33.56606342365159,1008.7199427424698,37.784274576136134,242529.0
1741393004.0593104,0.0,2.0,2.0,0.0,2.0,2.0,360.0,104.0,20.0,3.0,0.0,0.0,21.0380078125,33.57552151416122,1008.7219182336536,37.767767492976375,243039.0
1741393005.073314,0.0,2.0,2.0,0.0,2.0,2.0,360.0,104.0,20.0,3.0,0.0,0.0,21.0216015625,33.59711648877103,1008.7142777008607,37.831611461505304,242529.0
1741393006.0863805,0.0,2.0,2.0,0.0,2.0,2.0,360.0,104.0,20.0,3.0,0.0,0.0,21.0114453125,33.63658840045066,1008.7128545530508,37.843503267613166,243209.0
1741393007.0986872,0.0,2.0,2.0,0.0,2.0,2.0,360.0,100.0,25.0,3.0,0.0,0.0,21.0016796875,33.629936302686346,1008.7175308448383,37.804428280296804,242190.0
